date,employee_id,name,role,shift_start,shift_end,hours,hourly_rate_sar
2026-01-05,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-05,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-05,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-05,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-05,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-06,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-06,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-06,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-06,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-06,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-07,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-07,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-08,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-08,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-08,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-08,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-09,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-09,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-09,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-09,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-09,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-10,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-10,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-11,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-11,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-11,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-11,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-11,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-12,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-12,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-12,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-12,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-13,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-13,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-13,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-13,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-13,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-14,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-14,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-14,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-14,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-14,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-15,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-15,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-15,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-16,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-16,EMP-05,Mohammed Al-Qadeeh,barista,15:00,17:00,2,24
2026-01-17,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-17,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-17,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-17,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-18,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-18,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-18,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-18,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-18,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-19,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-19,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-20,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-20,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-20,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-20,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-20,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-21,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-21,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-21,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-21,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-21,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-22,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-22,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-22,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-22,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-23,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-23,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-23,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-23,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-24,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-24,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-24,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-24,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-24,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-25,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-01-25,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-25,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-25,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-25,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-26,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-26,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-26,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-27,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-27,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-27,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-27,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-28,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-28,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-01-28,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-28,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-28,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-01-29,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-29,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-01-29,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-01-29,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-01-30,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-30,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-01-30,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-01-31,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-01-31,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-01-31,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-01,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-01,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-01,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-01,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-02,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-02,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-02,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-02,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-02,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-02,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-03,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-03,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-03,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-03,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-04,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-04,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-04,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-04,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-04,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-05,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-05,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-05,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-06,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-06,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-06,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-06,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-06,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-06,EMP-06,Sara Al-Zahrani,cashier,15:00,17:00,2,20
2026-02-07,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-07,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-07,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-07,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-07,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-08,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-08,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-08,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-08,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-09,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-09,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-09,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-09,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-09,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-09,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-10,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-10,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-10,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-10,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-10,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-10,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-11,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-11,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-11,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-11,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-11,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-11,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-12,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-12,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-12,EMP-03,Zahra Al-Hassan,barista,15:00,23:00,8,24
2026-02-12,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-12,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-12,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-13,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-13,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-13,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-14,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-14,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-14,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-14,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-14,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-14,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-15,EMP-01,Hussain Al-Nasser,senior_barista,07:00,15:00,8,32
2026-02-15,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-15,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-15,EMP-04,Fatimah Al-Awami,cashier,07:00,15:00,8,20
2026-02-15,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-15,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-16,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-16,EMP-02,Ali Al-Mutairi,barista,07:00,15:00,8,24
2026-02-16,EMP-03,Zahra Al-Hassan,barista,07:00,15:00,8,24
2026-02-16,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-16,EMP-05,Mohammed Al-Qadeeh,barista,07:00,15:00,8,24
2026-02-16,EMP-06,Sara Al-Zahrani,cashier,07:00,15:00,8,20
2026-02-17,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-17,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-17,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-18,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-18,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-18,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-18,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-19,EMP-01,Hussain Al-Nasser,senior_barista,14:00,22:00,8,32
2026-02-19,EMP-02,Ali Al-Mutairi,barista,14:00,22:00,8,24
2026-02-19,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-19,EMP-04,Fatimah Al-Awami,cashier,14:00,22:00,8,20
2026-02-19,EMP-05,Mohammed Al-Qadeeh,barista,14:00,22:00,8,24
2026-02-19,EMP-06,Sara Al-Zahrani,cashier,14:00,22:00,8,20
2026-02-20,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-20,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-20,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-20,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-20,EMP-06,Sara Al-Zahrani,cashier,14:00,17:00,3,20
2026-02-21,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-21,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-21,EMP-06,Sara Al-Zahrani,cashier,14:00,22:00,8,20
2026-02-22,EMP-01,Hussain Al-Nasser,senior_barista,14:00,22:00,8,32
2026-02-22,EMP-02,Ali Al-Mutairi,barista,14:00,22:00,8,24
2026-02-22,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-22,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-22,EMP-05,Mohammed Al-Qadeeh,barista,15:00,23:00,8,24
2026-02-23,EMP-01,Hussain Al-Nasser,senior_barista,14:00,22:00,8,32
2026-02-23,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-23,EMP-05,Mohammed Al-Qadeeh,barista,14:00,22:00,8,24
2026-02-23,EMP-06,Sara Al-Zahrani,cashier,14:00,22:00,8,20
2026-02-24,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-24,EMP-02,Ali Al-Mutairi,barista,15:00,23:00,8,24
2026-02-24,EMP-03,Zahra Al-Hassan,barista,14:00,22:00,8,24
2026-02-24,EMP-04,Fatimah Al-Awami,cashier,15:00,23:00,8,20
2026-02-24,EMP-05,Mohammed Al-Qadeeh,barista,14:00,22:00,8,24
2026-02-24,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
2026-02-25,EMP-01,Hussain Al-Nasser,senior_barista,15:00,23:00,8,32
2026-02-25,EMP-02,Ali Al-Mutairi,barista,14:00,22:00,8,24
2026-02-25,EMP-05,Mohammed Al-Qadeeh,barista,14:00,22:00,8,24
2026-02-25,EMP-06,Sara Al-Zahrani,cashier,15:00,23:00,8,20
