date,employee_id,name,role,shift_start,shift_end,hours,hourly_rate_sar
2026-02-02,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-02,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-02,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-03,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-03,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-03,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-04,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-04,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-04,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-05,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-05,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-05,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-06,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-06,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-06,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-07,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-07,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-07,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-08,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-08,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-08,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-09,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-09,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-09,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-10,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-10,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-10,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-11,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-11,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-11,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-12,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-12,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-12,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-13,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-13,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-13,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-14,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-14,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-14,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
2026-02-15,EMP-01,Fahad,barista,07:00,15:00,8.0,22.0
2026-02-15,EMP-02,Layla,barista,07:00,15:00,8.0,24.0
2026-02-15,EMP-03,Omar,cashier,14:00,22:00,8.0,20.0
